point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
11,0,0.26591479484724945,60.0,0.30375,0.1625,0.028715604133903984,0.0038346939394250513,0.0021001368295401335,0.0004595588252414018,0.015962347388267517,0.2546875,0.1625,0.2625,0.3359375,0.503125
11,1,0.26591479484724945,60.0,0.4359375,0.228125,0.026390784718096257,0.0065276703145354985,0.00315727642737329,0.014675244688987732,0.01421328354626894,0.525,0.228125,0.4921875,0.46875,0.465625
11,2,0.26591479484724945,60.0,0.3128125,0.115625,0.0284968862682581,0.004144665296189487,0.002730713225901127,0.005928308703005314,0.014868848957121372,0.346875,0.115625,0.3375,0.2796875,0.484375
12,0,0.7071067811865475,1.0,0.9256249999999999,0.628125,0.007034666221588851,0.004611065206117928,0.008850268088281155,0.2874999940395355,0.012488750740885735,1.0,1.0,1.0,1.0,0.628125
12,1,0.7071067811865475,1.0,0.9446875,0.7234375,0.0046080392296426,0.0036484724748879673,0.013880738988518715,0.4554074704647064,0.012221046723425388,1.0,1.0,1.0,1.0,0.7234375
12,2,0.7071067811865475,1.0,0.9365625,0.6890625,0.0053922371100634334,0.003976946626789868,0.012280016206204891,0.40894606709480286,0.012932959944009781,1.0,0.99375,1.0,1.0,0.6890625
13,0,0.7071067811865475,2.7831576837137404,0.7403125,0.3515625,0.018314509205520153,0.003352417112328112,0.004692310467362404,0.09909620136022568,0.01358164381235838,1.0,0.3515625,0.934375,0.925,0.490625
13,1,0.7071067811865475,2.7831576837137404,0.9256249999999999,0.628125,0.005725853748153894,0.004124453598633409,0.007587225176393986,0.2161458283662796,0.012080291286110878,1.0,1.0,1.0,1.0,0.628125
13,2,0.7071067811865475,2.7831576837137404,0.7474999999999999,0.5078125,0.014791390057653186,0.003920422196388245,0.006397629622370005,0.1752297729253769,0.012739359401166439,0.8609375,0.8109375,0.7765625,0.78125,0.5078125
14,0,0.7071067811865475,7.745966692414834,0.32687499999999997,0.165625,0.029231296218931675,0.0016976110450923443,0.0028761448338627815,0.019393382593989372,0.015273869968950748,0.3046875,0.165625,0.33125,0.3203125,0.5125
14,1,0.7071067811865475,7.745966692414834,0.4490625,0.190625,0.02187256507575512,0.002996587350498885,0.004268120974302292,0.06868872791528702,0.012720287777483463,0.5640625,0.190625,0.5234375,0.4921875,0.475
14,2,0.7071067811865475,7.745966692414834,0.3353125,0.1984375,0.028937665224075315,0.00182436041533947,0.003828082699328661,0.055315565317869186,0.014573538675904274,0.3453125,0.1984375,0.31875,0.334375,0.4796875
15,0,0.7071067811865475,21.55824671778505,0.31687499999999996,0.1484375,0.029234073944389823,0.0016531194048002363,0.0022718883119523525,0.002558210864663124,0.015283648855984211,0.3328125,0.1484375,0.2890625,0.3109375,0.503125
15,1,0.7071067811865475,21.55824671778505,0.3415625,0.184375,0.02849801518023014,0.0020240128133445978,0.0033116943668574095,0.021537989377975464,0.014645576477050781,0.4875,0.184375,0.2828125,0.2640625,0.4890625
15,2,0.7071067811865475,21.55824671778505,0.364375,0.2515625,0.029080989882349965,0.0017160315299406647,0.002945312298834324,0.013204656541347504,0.014812033623456955,0.425,0.2515625,0.359375,0.3,0.4859375
16,0,0.7071067811865475,60.0,0.28656249999999994,0.1578125,0.029276041425764558,0.0016503941337577999,0.0020868186838924885,0.0002910539333242923,0.015735650435090065,0.253125,0.1578125,0.2234375,0.3078125,0.490625
16,1,0.7071067811865475,60.0,0.30218749999999994,0.253125,0.029037798196077345,0.0017378214956261218,0.003055181121453643,0.010263480246067047,0.01500600017607212,0.2640625,0.253125,0.2578125,0.253125,0.4828125
